scorer,DLC,DLC,DLC,DLC,DLC,DLC
bodyparts,nose,nose,nose,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood
0,320.60943416,203.45470043,0.82347280,320.07716225,161.50024362,0.91150846
1,319.59505794,196.91473379,0.93810465,317.70148119,163.88513037,0.72097949
2,324.84801612,201.65751321,0.72544578,318.75156549,163.99111202,0.84433693
3,326.89445878,199.18524358,0.86663851,313.63463605,157.70170621,0.93466336
4,322.76867949,199.59727205,0.94061794,311.60461421,158.42701304,0.92439704
5,325.71210862,197.45715499,0.97741050,312.64128344,163.40688556,0.94452193
6,330.20327629,198.70275088,0.94677493,306.98112037,158.51177468,0.83447219
7,330.92878669,201.74647914,0.71109122,309.21811153,158.20852778,0.94616712
8,333.12106355,200.05283789,0.81181070,307.05044050,160.14008433,0.77222592
9,333.01889425,202.06015293,0.71460954,304.98013291,162.24492370,0.80824317
10,338.02826167,200.62573293,0.73278469,306.90708649,161.52429743,0.75290667
11,339.34099104,198.79240856,0.90259169,300.97017794,160.78463755,0.84024536
12,339.40220836,201.01400265,0.91397746,304.85044938,161.12544148,0.81761801
13,342.97556279,197.98527152,0.93211620,298.82805673,161.46804067,0.77227813
14,343.07068065,198.31440117,0.95963696,295.31030514,161.58255593,0.92553421
15,341.79282517,195.58719798,0.92182944,296.62842907,168.38292587,0.79415403
16,345.58341278,195.80696078,0.94026148,293.00159839,164.92115300,0.78184130
17,344.21905896,193.74505347,0.71468911,292.35966414,166.63361700,0.73926710
18,349.13878484,196.55854042,0.77036055,293.41218236,164.44247252,0.83164651
19,348.47905536,191.63665956,0.88656933,292.53225699,165.63481984,0.79088939
20,349.35606829,194.94731281,0.95743759,289.02987158,165.19027991,0.81078185
21,349.45867062,192.36717768,0.70135004,291.15428058,161.94810354,0.77079918
22,354.30627940,194.43447648,0.85438880,290.45381880,165.15199915,0.92894665
23,352.53690940,192.91600933,0.90318622,290.02663515,164.96449129,0.97900100
24,352.91646138,194.35782821,0.70888219,287.28570979,164.78389654,0.84937956
25,353.93674905,191.46154938,0.82040667,288.08584127,167.60928205,0.89289953
26,356.51276154,186.12184019,0.96869046,280.79025997,173.38399066,0.96015168
27,356.92397023,188.38167949,0.90148384,283.17110480,171.39554183,0.99964889
28,357.69999129,185.40629734,0.77129751,281.39146342,174.83081580,0.88405495
29,358.35292159,185.93488126,0.95583434,282.74717214,173.85052421,0.96693384
30,362.32555585,189.20279675,0.80440943,280.81484091,175.38477776,0.97258247
31,357.71367264,186.65346403,0.95600340,281.14118164,172.81980960,0.93743545
32,357.91867066,183.16915655,0.78968310,284.82119365,176.48088451,0.83827942
33,357.66394457,181.72019156,0.87709608,280.36907038,177.70980218,0.72434620
34,360.80285216,182.98722476,0.81908202,281.25669132,175.92504484,0.70474167
35,362.03882040,179.65744897,0.78244752,279.75458553,179.02851148,0.84316019
36,359.69317422,179.91352984,0.96596727,280.23035744,179.87656513,0.84829436
37,358.31091439,181.04286734,0.75627810,280.02080602,178.48204636,0.82220872
38,358.34226491,181.89177567,0.72544348,280.90542079,178.17331153,0.87045021
39,361.22225471,179.96171255,0.80257808,282.40954593,178.88755373,0.86564881
40,361.26738416,173.32685172,0.91529174,283.51391218,182.26358035,0.95098391
41,360.65720186,177.68707289,0.94222948,281.04834685,183.57568031,0.73259713
42,357.96047061,176.39644085,0.99962301,281.88760374,182.16257463,0.76755330
43,359.40747876,176.26076317,0.78890862,278.75511487,184.62018808,0.93790149
44,358.75987429,177.85402295,0.82238259,281.29774384,186.51947048,0.95435106
45,358.47963785,169.69318356,0.74104638,283.83831828,187.41672132,0.99844726
46,359.23413714,171.84635220,0.87246158,284.24065770,190.07520119,0.96187360
47,357.32171716,173.43150092,0.99927401,283.54869340,190.30427339,0.96696970
48,357.55090922,168.32122537,0.91026430,285.57970582,186.51300297,0.79430438
