scorer,DLC_resnet50_model,DLC_resnet50_model,DLC_resnet50_model,DLC_resnet50_model,DLC_resnet50_model,DLC_resnet50_model,DLC_resnet50_model,DLC_resnet50_model,DLC_resnet50_model
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,320.00,280.00,0.95,290.00,260.00,0.95,350.00,260.00,0.95
1,340.91,279.45,0.95,310.91,259.45,0.95,370.91,259.45,0.95
2,361.58,277.81,0.95,331.58,257.81,0.95,391.58,257.81,0.95
3,381.80,275.11,0.95,351.80,255.11,0.95,411.80,255.11,0.95
4,401.35,271.35,0.95,371.35,251.35,0.95,431.35,251.35,0.95
5,420.00,266.60,0.95,390.00,246.60,0.95,450.00,246.60,0.95
6,437.56,260.90,0.95,407.56,240.90,0.95,467.56,240.90,0.95
7,453.83,254.31,0.95,423.83,234.31,0.95,483.83,234.31,0.95
8,468.63,246.91,0.95,438.63,226.91,0.95,498.63,226.91,0.95
9,481.80,238.78,0.95,451.80,218.78,0.95,511.80,218.78,0.95
10,493.21,230.00,0.95,463.21,210.00,0.95,523.21,210.00,0.95
11,502.71,220.67,0.95,472.71,200.67,0.95,532.71,200.67,0.95
12,510.21,210.90,0.95,480.21,190.90,0.95,540.21,190.90,0.95
13,515.63,200.79,0.95,485.63,180.79,0.95,545.63,180.79,0.95
14,518.90,190.45,0.95,488.90,170.45,0.95,548.90,170.45,0.95
15,520.00,180.00,0.95,490.00,160.00,0.95,550.00,160.00,0.95
16,518.90,169.55,0.95,488.90,149.55,0.95,548.90,149.55,0.95
17,515.63,159.21,0.95,485.63,139.21,0.95,545.63,139.21,0.95
18,510.21,149.10,0.95,480.21,129.10,0.95,540.21,129.10,0.95
19,502.71,139.33,0.95,472.71,119.33,0.95,532.71,119.33,0.95
20,493.21,130.00,0.95,463.21,110.00,0.95,523.21,110.00,0.95
21,481.80,121.22,0.95,451.80,101.22,0.95,511.80,101.22,0.95
22,468.63,113.09,0.95,438.63,93.09,0.95,498.63,93.09,0.95
23,453.83,105.69,0.95,423.83,85.69,0.95,483.83,85.69,0.95
24,437.56,99.10,0.95,407.56,79.10,0.95,467.56,79.10,0.95
25,420.00,93.40,0.95,390.00,73.40,0.95,450.00,73.40,0.95
26,401.35,88.65,0.95,371.35,68.65,0.95,431.35,68.65,0.95
27,381.80,84.89,0.95,351.80,64.89,0.95,411.80,64.89,0.95
28,361.58,82.19,0.95,331.58,62.19,0.95,391.58,62.19,0.95
29,340.91,80.55,0.95,310.91,60.55,0.95,370.91,60.55,0.95
30,320.00,80.00,0.95,290.00,60.00,0.95,350.00,60.00,0.95
31,299.09,80.55,0.95,269.09,60.55,0.95,329.09,60.55,0.95
32,278.42,82.19,0.95,248.42,62.19,0.95,308.42,62.19,0.95
33,258.20,84.89,0.95,228.20,64.89,0.95,288.20,64.89,0.95
34,238.65,88.65,0.95,208.65,68.65,0.95,268.65,68.65,0.95
35,220.00,93.40,0.95,190.00,73.40,0.95,250.00,73.40,0.95
36,202.44,99.10,0.95,172.44,79.10,0.95,232.44,79.10,0.95
37,186.17,105.69,0.95,156.17,85.69,0.95,216.17,85.69,0.95
38,171.37,113.09,0.95,141.37,93.09,0.95,201.37,93.09,0.95
39,158.20,121.22,0.95,128.20,101.22,0.95,188.20,101.22,0.95
40,146.79,130.00,0.95,116.79,110.00,0.95,176.79,110.00,0.95
41,137.29,139.33,0.95,107.29,119.33,0.95,167.29,119.33,0.95
42,129.79,149.10,0.95,99.79,129.10,0.95,159.79,129.10,0.95
43,124.37,159.21,0.95,94.37,139.21,0.95,154.37,139.21,0.95
44,121.10,169.55,0.95,91.10,149.55,0.95,151.10,149.55,0.95
45,120.00,180.00,0.95,90.00,160.00,0.95,150.00,160.00,0.95
46,121.10,190.45,0.95,91.10,170.45,0.95,151.10,170.45,0.95
47,124.37,200.79,0.95,94.37,180.79,0.95,154.37,180.79,0.95
48,129.79,210.90,0.95,99.79,190.90,0.95,159.79,190.90,0.95
49,137.29,220.67,0.95,107.29,200.67,0.95,167.29,200.67,0.95
50,146.79,230.00,0.95,116.79,210.00,0.95,176.79,210.00,0.95
51,158.20,238.78,0.95,128.20,218.78,0.95,188.20,218.78,0.95
52,171.37,246.91,0.95,141.37,226.91,0.95,201.37,226.91,0.95
53,186.17,254.31,0.95,156.17,234.31,0.95,216.17,234.31,0.95
54,202.44,260.90,0.95,172.44,240.90,0.95,232.44,240.90,0.95
55,220.00,266.60,0.95,190.00,246.60,0.95,250.00,246.60,0.95
56,238.65,271.35,0.95,208.65,251.35,0.95,268.65,251.35,0.95
57,258.20,275.11,0.95,228.20,255.11,0.95,288.20,255.11,0.95
58,278.42,277.81,0.95,248.42,257.81,0.95,308.42,257.81,0.95
59,299.09,279.45,0.95,269.09,259.45,0.95,329.09,259.45,0.95
